timestamp,instance_id,instance_type,cpu_utilization,memory_utilization,disk_utilization,network_in_mb,network_out_mb,hour_of_day,day_of_week,is_business_hours,is_weekend,cpu_future,will_exceed_threshold
2025-11-19 11:04:55.813790,i-02f2d7ef,t2.medium,38.31,36.65,49.26,439.33,141.5,11,2,1,0,40.63,0
2025-11-19 11:09:55.813790,i-02f2d7ef,t2.medium,36.03,37.22,51.61,427.53,178.12,11,2,1,0,43.34,0
2025-11-19 11:14:55.813790,i-02f2d7ef,t2.medium,39.54,36.41,50.44,391.61,154.57,11,2,1,0,39.54,0
2025-11-19 11:19:55.813790,i-02f2d7ef,t2.medium,35.86,34.74,48.16,428.97,193.43,11,2,1,0,39.39,0
2025-11-19 11:24:55.813790,i-02f2d7ef,t2.medium,38.78,41.85,50.02,425.68,216.14,11,2,1,0,39.85,0
2025-11-19 11:29:55.813790,i-02f2d7ef,t2.medium,45.55,37.98,49.37,444.43,233.28,11,2,1,0,44.7,0
2025-11-19 11:34:55.813790,i-02f2d7ef,t2.medium,34.68,35.27,50.28,370.28,217.31,11,2,1,0,35.48,0
2025-11-19 11:39:55.813790,i-02f2d7ef,t2.medium,42.15,42.37,48.61,374.37,252.47,11,2,1,0,48.03,0
2025-11-19 11:44:55.813790,i-02f2d7ef,t2.medium,32.22,37.61,46.49,341.9,197.15,11,2,1,0,44.89,0
2025-11-19 11:49:55.813790,i-02f2d7ef,t2.medium,47.2,39.43,50.38,444.85,187.37,11,2,1,0,32.14,0
2025-11-19 11:54:55.813790,i-02f2d7ef,t2.medium,36.96,40.59,45.68,407.54,217.73,11,2,1,0,44.41,0
2025-11-19 11:59:55.813790,i-02f2d7ef,t2.medium,47.52,34.63,51.47,417.85,179.77,11,2,1,0,37.46,0
2025-11-19 12:04:55.813790,i-02f2d7ef,t2.medium,40.63,39.49,52.57,401.21,173.01,12,2,1,0,50.26,0
2025-11-19 12:09:55.813790,i-02f2d7ef,t2.medium,43.34,38.69,48.36,455.56,203.35,12,2,1,0,42.62,0
2025-11-19 12:14:55.813790,i-02f2d7ef,t2.medium,39.54,39.12,51.3,444.39,204.55,12,2,1,0,43.07,0
2025-11-19 12:19:55.813790,i-02f2d7ef,t2.medium,39.39,35.07,49.12,308.97,217.27,12,2,1,0,50.12,0
2025-11-19 12:24:55.813790,i-02f2d7ef,t2.medium,39.85,40.86,49.11,376.27,185.66,12,2,1,0,43.51,0
2025-11-19 12:29:55.813790,i-02f2d7ef,t2.medium,44.7,39.89,47.1,394.28,166.63,12,2,1,0,46.89,0
2025-11-19 12:34:55.813790,i-02f2d7ef,t2.medium,35.48,37.58,50.32,336.23,225.71,12,2,1,0,46.6,0
2025-11-19 12:39:55.813790,i-02f2d7ef,t2.medium,48.03,34.64,49.64,469.85,202.45,12,2,1,0,41.11,0
